Company Name,Title,Description,Location,Started On,Finished On
Canals,Software Engineer,Software Engineer for the Accounts Payables team.,,Jan 2026,
Universidad de los Andes - Colombia,Adjunct Lecturer,"Principal Instructor — Introduction to Programming with Python  • Lead instruction for a 25-student course covering foundational programming concepts using Python • Selected for a principal instructional role typically reserved for graduate-level faculty • Deliver lectures, design exams and programming assignments, and coordinate weekly lab sessions with two teaching assistants","Bogotá, Distrito Capital, Colombia",Jan 2026,
Cornell University,Cornell Cup Robotics Team Member,Currently working with Cornell on the ISS microMimic project: an XRP variant that receives real-time telemetry from the International Space Station. Our work was recently shown at the MIT museum.,"Ithaca, Nueva York, Estados Unidos",Aug 2025,
Universidad de los Andes - Colombia,Undergraduate Research Assistant – Cupitaller,"Member of the 7-person team responsible for the management and operational oversight of the University of the Andes' (Universidad de los Andes) programming support center, CupiTaller, under Professor Eduardo Rosales, Ph.D. •	Managed the “Programming in Python” and “Introduction to Object Oriented Programming in Java” courses offered publicly by the University of the Andes on Coursera. •	Responsible for managing the schedules of approximately 40 tutors and 70 teaching assistants, overseeing and coordinating a system that allowed over 1500 students to schedule tutoring sessions. •	Created programming problem sets and automated solution verification for Senecode, the University's coding problems webpage. •	Conducted interviews to assess potential candidates for tutor positions. •	Maintained a Discord bot (written in TypeScript) to facilitate remote tutoring sessions. •	Part of the team that led the design, development, and maintenance of CupiMonitores, a web application (backend: NestJS, frontend: Next.js) that provides all necessary endpoints for managing teaching assistants, including querying their information, grading them, and handling access control for different user roles.","Bogotá, Distrito Capital, Colombia",Aug 2024,Feb 2026
Cornell University,Summer Research Intern - SURF,"- Developed XRP robotic features and an educational guide for Cornell SYSEN5920 & 5100, the first experience in the world recognized by INCOSE as a knowledge exam equivalent. - Helped create components of the XRP robotic education system, now being used in 180+ countries with support from partners such as FIRST, Raspberry Pi, SparkFun, Lockheed Martin, NASA, Boeing, and many others. - Designed and implemented a GUI for the AgXRP , an open-source autonomous platform for exploring automation, robotics, and precision agriculture. I built both the communication protocol and a fully functional web application enabling USB-based serial control of the system. - Our work will be featured at the National Governors Association meeting in February 2026, presented to all 50 U.S. Governors and the U.S. Secretary of Education.","Ithaca, Nueva York, Estados Unidos",Jun 2025,Aug 2025
Precia PPV S.A,Systems and Computer Engineering Intern,"• Optimized existing code within AWS services such as Lambda and Glue, improving performance and  efficiency.   • Helped developing interactive Power BI dashboards to analyze and visualize data from the Colombian Stock  Exchange.  • Played a key role in the technology team, contributing to industry-leading pricing solutions for valuation in  Colombia.","Bogotá, Distrito Capital, Colombia",Jan 2025,May 2025
Universidad de los Andes - Colombia,Undergraduate Research Assistant - Enterprise Architecture ,"Research  assistant under Professor Jorge Villaloboss, Ph.D. •	Responsible for the creation of exams for the new course “Arquitectura Empresarial” of the Master’s Degree “MAIT- Maestría en Gerencia de Tecnologías de Información” of the Universidad de los Andes •	Theoretical research regarding Enterprise Architecture","Bogotá, Distrito Capital, Colombia",Aug 2024,Jan 2025
Universidad de los Andes - Colombia,Undergraduate Teaching Assistant – Technological Information for Organizations,Undergraduate teaching assistant for IT in the Organizations. • Corrected and graded worksheets and assessments. • Conducted monthly lectures regarding key concepts of the subject.,"Bogotá, Distrito Capital, Colombia",Aug 2023,Dec 2023
Universidad de los Andes - Colombia,Teaching Assistant – Introduction to Programming Course at Universidad de los Andes  ,"Undergraduate teaching assistant for Introduction to Programming under multiple Professors. • Provided support to the professor during programming teaching laboratories, assisting ~40 students. • Corrected and graded basic programming projects.","Bogotá, Distrito Capital, Colombia",Jan 2021,Dec 2023
Universidad de los Andes - Colombia,Tutor | CupiTaller,"Role as a Python Tutor at CupiTaller, the University of the Andes' programming support center designed for students in their first or second programming course. • Conducted daily tutoring sessions. • Assisted more than 80 students in honing fundamental Python coding skills.","Bogotá, Distrito Capital, Colombia",Feb 2023,Jun 2023
